id,numrandom,fecha,det,id_asig
464,17436,2021-06-02 10:36:27,null,17
465,122311,2021-06-02 16:27:20,null,122
466,123152,2021-06-03 09:14:12,null,123
467,107701,2021-06-03 19:32:50,null,107
468,129892,2021-06-04 08:18:16,null,129
469,125469,2021-06-07 09:32:13,null,125
470,124994,2021-06-08 10:24:10,null,124
471,130437,2021-06-08 19:53:08,null,130
472,120892,2021-06-09 08:47:56,null,120
473,115571,2021-06-09 16:51:36,null,115
474,129609,2021-06-11 08:12:19,null,129
475,114519,2021-06-11 16:27:15,null,114
476,125693,2021-06-14 09:29:07,null,125
477,132915,2021-06-14 17:52:23,null,132
478,118884,2021-06-14 21:47:23,null,118
479,124739,2021-06-15 09:57:52,null,124
480,132635,2021-06-15 17:12:55,null,132
481,130459,2021-06-15 19:55:36,null,130
482,120475,2021-06-16 08:58:44,null,120
483,121615,2021-06-16 17:15:06,null,121
484,132434,2021-06-16 17:49:08,null,132
485,123601,2021-06-17 10:45:08,null,123
486,129263,2021-06-18 10:08:12,null,129
487,125696,2021-06-21 09:21:01,null,125
488,122105,2021-06-21 11:38:59,null,122
489,113268,2021-06-21 20:45:43,null,113
490,105454,2021-06-21 21:07:25,null,105
491,130904,2021-06-22 17:51:16,null,130
492,120307,2021-06-23 08:58:58,null,120
493,124938,2021-06-23 15:39:21,null,124
494,115323,2021-06-23 16:17:53,null,115
495,122544,2021-06-23 17:04:00,null,122
496,117430,2021-06-24 16:09:34,null,117
497,107882,2021-06-24 20:09:14,null,107
498,129612,2021-06-25 10:01:04,null,129
499,114911,2021-06-25 19:11:16,null,114
500,125444,2021-06-28 08:02:31,null,125
501,118673,2021-06-28 10:14:35,null,118
502,124262,2021-06-29 09:59:18,null,124
503,130258,2021-06-29 17:47:11,null,130
504,120536,2021-06-30 08:44:30,null,120
505,121852,2021-06-30 12:57:27,null,121
506,129530,2021-07-02 09:44:05,null,129
507,125388,2021-07-05 08:47:43,null,125
508,118564,2021-07-05 10:20:58,null,118
509,105421,2021-07-05 20:56:31,null,105
510,124835,2021-07-06 09:50:00,null,124
511,130151,2021-07-06 18:21:23,null,130
512,120415,2021-07-07 08:45:02,null,120
513,115461,2021-07-07 18:22:58,null,115
514,107801,2021-07-08 20:03:52,null,107
515,117189,2021-07-08 23:18:24,null,117
516,129786,2021-07-09 09:49:36,null,129
517,114141,2021-07-09 18:40:02,null,114
518,113361,2021-07-09 20:02:23,null,113
519,125567,2021-07-12 09:40:49,null,125
520,118568,2021-07-12 15:06:25,null,118
521,124338,2021-07-13 10:32:20,null,124
522,130392,2021-07-13 19:43:07,null,130
523,120279,2021-07-14 08:57:59,null,120
524,129191,2021-07-16 09:06:50,null,129
525,125743,2021-07-19 08:24:56,null,125
526,130774,2021-07-20 20:01:19,null,130
527,129443,2021-07-23 09:20:04,null,129
528,129132,2021-10-12 09:30:15,null,129
529,133271,2021-10-12 11:11:18,null,133
530,135586,2021-10-13 09:09:25,null,135
531,129226,2021-10-13 09:18:23,null,129
532,99230,2021-10-14 10:18:42,null,99
533,8691,2021-10-14 11:57:36,null,8
534,135468,2021-10-14 12:06:24,null,135
535,129735,2021-10-19 09:27:52,null,129
536,133339,2021-10-19 11:00:26,null,133
537,135624,2021-10-20 09:11:47,null,135
538,136514,2021-10-20 10:02:31,null,136
539,142602,2021-10-20 17:53:21,null,142
540,143465,2021-10-20 18:02:45,null,143
541,134784,2021-10-20 18:07:44,null,134
542,133448,2021-10-21 17:08:05,null,133
543,144101,2021-10-22 07:33:37,null,144
544,129698,2021-10-26 09:42:00,null,129
545,133758,2021-10-26 10:52:16,null,133
546,138626,2021-10-26 11:07:45,null,138
547,136723,2021-10-27 10:10:14,null,136
548,134250,2021-10-27 18:01:42,null,134
549,135748,2021-10-28 11:44:19,null,135
550,133687,2021-10-28 17:33:03,null,133
551,135634,2021-11-04 11:45:02,null,135
552,156516,2021-11-05 10:15:25,null,156
553,303473,2021-11-05 10:55:21,null,303
554,174479,2021-11-05 10:59:22,null,174
555,341862,2021-11-05 11:41:28,null,341
556,194571,2021-11-05 13:08:59,null,194
557,262906,2021-11-05 15:48:41,null,262
558,99571,2021-11-05 16:09:22,null,99
559,234162,2021-11-05 16:32:50,null,234
561,254602,2021-11-08 08:01:14,null,254
562,344327,2021-11-08 08:59:27,null,344
563,272738,2021-11-09 09:06:49,null,272
564,133425,2021-11-09 11:24:35,null,133
565,216829,2021-11-09 12:16:08,null,216
566,254235,2021-11-09 15:28:17,null,254
567,237536,2021-11-09 16:20:49,null,237
568,254241,2021-11-10 07:52:45,null,254
569,213272,2021-11-10 09:46:17,null,213
570,174560,2021-11-10 10:23:47,null,174
571,216928,2021-11-10 14:09:50,null,216
572,239754,2021-11-10 14:47:15,null,239
573,334111,2021-11-10 17:51:42,null,334
574,134305,2021-11-10 18:40:39,null,134
575,317100,2021-11-10 19:01:22,null,317
576,254624,2021-11-11 09:35:27,null,254
577,205272,2021-11-11 09:44:26,null,205
578,218941,2021-11-11 09:50:42,null,218
579,268892,2021-11-11 10:04:38,null,268
580,343159,2021-11-11 10:48:56,null,343
581,238854,2021-11-11 12:22:35,null,238
582,220977,2021-11-11 16:07:23,null,220
583,317242,2021-11-11 18:02:50,null,317
584,190568,2021-11-11 18:15:23,null,190
585,228664,2021-11-12 09:30:25,null,228
586,254309,2021-11-12 11:18:54,null,254
587,341420,2021-11-12 12:04:36,null,341
588,310193,2021-11-12 15:10:25,null,310
589,234212,2021-11-12 17:28:07,null,234
590,286245,2021-11-12 17:30:14,null,286
591,333626,2021-11-12 17:47:21,null,333
592,317427,2021-11-12 19:37:13,null,317
593,240824,2021-11-12 21:12:23,null,240
594,344991,2021-11-15 09:18:42,null,344
595,254763,2021-11-15 10:16:19,null,254
596,190500,2021-11-15 11:29:18,null,190
597,293240,2021-11-15 18:04:57,null,293
599,272517,2021-11-16 09:31:19,null,272
600,205221,2021-11-16 10:10:43,null,205
601,320470,2021-11-16 10:22:06,null,320
602,305276,2021-11-16 10:52:37,null,305
603,254220,2021-11-16 11:10:52,null,254
604,239932,2021-11-16 11:37:39,null,239
605,138895,2021-11-16 12:03:10,null,138
606,238433,2021-11-16 13:39:21,null,238
607,237724,2021-11-16 13:43:09,null,237
608,192970,2021-11-16 15:32:55,null,192
610,204166,2021-11-16 19:09:14,null,204
611,146820,2021-11-16 20:12:29,null,146
612,332672,2021-11-17 08:01:41,null,332
613,254136,2021-11-17 08:52:30,null,254
614,213668,2021-11-17 09:48:41,null,213
615,174918,2021-11-17 12:45:09,null,174
616,144638,2021-11-17 16:26:03,null,144
617,321746,2021-11-17 16:28:08,null,321
618,310234,2021-11-17 16:29:13,null,310
619,334684,2021-11-17 17:11:29,null,334
620,305547,2021-11-17 17:28:30,null,305
621,134151,2021-11-17 18:38:12,null,134
622,204142,2021-11-17 18:46:07,null,204
623,224629,2021-11-17 20:08:19,null,224
624,317478,2021-11-17 20:11:17,null,317
625,254816,2021-11-18 09:15:24,null,254
626,310380,2021-11-18 10:42:18,null,310
627,348267,2021-11-18 11:42:15,null,348
628,343310,2021-11-18 12:02:47,null,343
629,321991,2021-11-18 12:14:47,null,321
630,205689,2021-11-18 12:18:17,null,205
632,176723,2021-11-18 12:55:49,null,176
633,334387,2021-11-18 16:13:10,null,334
634,163448,2021-11-18 16:41:00,null,163
635,293330,2021-11-18 18:42:21,null,293
636,190918,2021-11-18 18:53:54,null,190
637,292846,2021-11-22 09:31:16,null,292
638,254382,2021-11-22 10:26:50,null,254
639,190938,2021-11-22 10:52:55,null,190
640,344435,2021-11-22 12:24:26,null,344
641,349245,2021-11-22 14:09:27,null,349
642,205115,2021-11-22 16:13:20,null,205
643,235228,2021-11-22 16:57:12,null,235
644,293222,2021-11-22 20:53:32,null,293
645,237878,2021-11-23 07:19:31,null,237
646,349773,2021-11-23 07:27:16,null,349
647,205700,2021-11-23 09:07:26,null,205
648,272904,2021-11-23 09:07:28,null,272
649,311375,2021-11-23 13:06:16,null,311
650,235547,2021-11-23 16:41:05,null,235
651,238355,2021-11-23 17:02:53,null,238
652,335447,2021-11-23 17:10:51,null,335
653,146860,2021-11-23 17:31:31,null,146
654,310910,2021-11-23 20:31:28,null,310
656,176222,2021-11-24 08:40:49,null,176
657,254679,2021-11-24 09:20:28,null,254
658,213729,2021-11-24 09:56:25,null,213
659,206470,2021-11-24 10:43:50,null,206
660,163834,2021-11-24 12:13:54,null,163
661,174848,2021-11-24 12:34:38,null,174
662,239996,2021-11-24 13:32:35,null,239
